corbett,region,height,first_route_title,first_route_url,time_hours_min,time_hours_max,distance_km,ascent,scramble,exposed,spate,bog,river,pathless,toilet,bothy,pub,car_park,deer_fence,cow,bike,start_lat,start_lon,ascents,rating
Sgùrr an Utha,796m,NA,Sgùrr an Utha from Drochaid Allt an Utha,https://www.walkhighlands.co.uk/fortwilliam/sgurr-an-utha.shtml,4,6,9,757,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.8778,-5.4924,957,NA
Sgùrr Coire Choinnichean,796m,NA,Sgùrr Coire Choinnichean from Inverie,https://www.walkhighlands.co.uk/fortwilliam/sgurr-coire-choinnichean.shtml,5.5,6,12.75,857,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,57.0383,-5.6852,951,NA
Sgùrr Cos na Breachd-laoidh,835m,NA,Sgùrr Cos na Breachd-laoidh from Loch Arkaig,https://www.walkhighlands.co.uk/fortwilliam/sgurr-cos-na-breachd-laoidh.shtml,6,7,13,861,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.9715,-5.3122,646,NA
Sgùrr Dhomhnuill,888m,NA,Sgùrr Dhomhnuill via the Ariundle Oakwoods,https://www.walkhighlands.co.uk/fortwilliam/sgurr-dhomhnuill.shtml,7,8.5,17.75,913,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.711,-5.5542,713,NA
Sgùrr Dubh,782m,NA,Sgòrr nan Lochan Uaine and Sgùrr Dubh from Glen Torridon,https://www.walkhighlands.co.uk/torridon/sgorr-nan-lochan-uaine.shtml,7.5,9,14.25,985,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.5547,-5.4156,848,NA
Sgùrr Gaorsaic,839m,NA,Sgùrr Gaorsaic from Morvich,https://www.walkhighlands.co.uk/kintail/sgurr-gaorsaic.shtml,7,9,20.5,1139,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.2348,-5.3809,604,NA
Sgùrr Ghiubhsachain,849m,NA,Sgùrr Ghiubhsachain and Sgòrr Craobh a' Chaorainn from Callop,https://www.walkhighlands.co.uk/fortwilliam/sgurr-ghiubhsachain.shtml,9,11,21.75,1454,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,56.8579,-5.4068,727,NA
Sgùrr Innse,809m,NA,The Innses from Corriechoille,https://www.walkhighlands.co.uk/fortwilliam/cruach-innse.shtml,6,7,13,890,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.8682,-4.86347,1078,NA
Sgùrr Mhic Bharraich,779m,NA,Sgùrr Mhic Bharraich from Shiel Bridge,https://www.walkhighlands.co.uk/kintail/sgurr-mhic-bharraich.shtml,4.5,6.5,9.5,787,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.2121,-5.4152,959,NA
Sgùrr Mhurlagain,880m,NA,Sgùrr Mhurlagain and Fraoch Bheinn,https://www.walkhighlands.co.uk/fortwilliam/sgurr-mhurlagain.shtml,6.5,8,15,1243,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.9716,-5.3122,611,NA
Sgùrr na Ba Glaise,874m,NA,Rois-bheinn round from Inverailort,https://www.walkhighlands.co.uk/fortwilliam/rois-bheinn.shtml,9,10,19,1649,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.8733,-5.6689,886,NA
Sgùrr na Feartaig,862m,NA,Sgùrr na Feartaig and Beinn Tharsuinn from Achnashellach,https://www.walkhighlands.co.uk/torridon/sgurr-na-feartaig.shtml,7,8,22,1180,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,57.4914,-5.2722,812,NA
Sgùrr nan Ceannaichean,913m,NA,Moruisg and Sgùrr nan Ceannaichean from Glen Carron,https://www.walkhighlands.co.uk/torridon/Moruisg.shtml,6,7,12,978,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,57.5176,-5.20773,2534,NA
