munro,height_wh,height_dobih,height_diff,region,xcoord,ycoord,grid_ref,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent,first_route_title,site_key,time,scramble_exposed,wet
Ciste Dhubh,979,981.1,2.1000000000000227,Kintail,206236,816618,NH062166,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,7,12.5,1040,Ciste Dhubh and Am Bathach from the Cluanie Inn,NH062166,6,Neither,Boggy
Lurg Mhòr,986,987,1,Torridon,206480,840451,NH064404,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,16,38,1530,"Lurg Mhòr and Bidein a' Choire Sheasgaich, from Attadale via Bendronaig Lodge",NH064404,16,Both,Neither
Sgùrr Fiona,1060,1058.7,1.2999999999999545,Ullapool,206406,883679,NH064836,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9,10,20,1415,"An Teallach traverse, Dundonnell",NH064836,9.5,Both,Boggy
Spidean Mialach,996,996,0,Fort William,206592,804306,NH065043,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,7,12,1130,Gleouraich & Spidean Mialach,NH065043,6,Neither,Boggy
Bidein a' Ghlas Thuill,1062,1062.5,0.5,Ullapool,206896,884366,NH068843,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9,10,20,1415,"An Teallach traverse, Dundonnell",NH068843,9.5,Both,Boggy
Druim Shionnach,987,985.2,1.7999999999999545,Kintail,207441,808484,NH074084,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818,South Glen Shiel Ridge walk,NH074084,10,Scramble,Boggy
Sgùrr Chòinnich,999,999.3,0.2999999999999545,Torridon,207625,844627,NH076446,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,8,20.5,1251,Sgùrr a' Chaorachain and Sgùrr Chòinnich from Achnashellach,NH076446,7.5,Neither,Both
Mullach na Dheiragain,982,982,0,Loch Ness,208044,825917,NH080259,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,20,1484,Sgùrr nan Ceathreamhnan Munros from Alltbeithe,NH080259,10,Neither,Boggy
Creag a'Mhàim,947,946.2,0.7999999999999545,Kintail,208790,807772,NH087077,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818,South Glen Shiel Ridge walk,NH087077,10,Scramble,Boggy
Sgùrr a' Chaorachain,1053,1053,0,Torridon,208749,844738,NH087447,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,8,20.5,1251,Sgùrr a' Chaorachain and Sgùrr Chòinnich from Achnashellach,NH087447,7.5,Neither,Both
An Socach,921,919.7,1.2999999999999545,Loch Ness,208816,822999,NH088229,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,20,1484,Sgùrr nan Ceathreamhnan Munros from Alltbeithe,NH088229,10,Neither,Boggy
