munro,height_wh,height_dobih,height_diff,region,xcoord,ycoord,grid_ref,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent,first_route_title,site_key,time,scramble_exposed,wet
Meall Garbh,968,968,0,Perthshire,264707,751686,NN647516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8,17.5,1330,Càrn Mairg circuit from Invervar,NN647516,7.5,Neither,Neither
A' Bhuidheanach Bheag,936,936.1,0.10000000000002274,Cairngorms,266059,777594,NN660775,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,19,824,Càrn na Caim and A' Bhuidheanach Bheag from Drumochter,NN660775,5.5,Neither,Boggy
Meall Greigh,1001,1001,0,Perthshire,267400,743808,NN674438,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,16.5,1230,Circuit of Coire nan Cat,NN674438,7.5,Scramble,Boggy
Càrn na Caim,941,940.8,0.20000000000004547,Cairngorms,267700,782153,NN677821,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,19,824,Càrn na Caim and A' Bhuidheanach Bheag from Drumochter,NN677821,5.5,Neither,Boggy
Càrn Mairg,1042,1042,0,Perthshire,268491,751260,NN684512,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8,17.5,1330,Càrn Mairg circuit from Invervar,NN684512,7.5,Neither,Neither
Creag Mhòr,981,981,0,Perthshire,269477,749669,NN694496,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8,17.5,1330,Càrn Mairg circuit from Invervar,NN694496,7.5,Neither,Neither
Schiehallion,1083,1083,0,Perthshire,271384,754768,NN713547,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6,10,731,Schiehallion from the Braes of Foss,NN713547,5,Neither,Neither
Meall Chuaich,951,951,0,Cairngorms,271648,787834,NN716878,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,5,14,614,Meall Chuaich from near Dalwhinnie,NN716878,4.5,Neither,Neither
Ben Chonzie,931,931,0,Perthshire,277324,730857,NN773308,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,5,12.5,712,Ben Chonzie from Glen Lednock,NN773308,4.5,Neither,Boggy
Beinn Dearg,1008,1008.7,0.7000000000000455,Perthshire,285296,777800,NN852778,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7,9,29,990,"Beinn Dearg from the Old Bridge of Tilt, Blair Atholl",NN852778,8,Exposed,Boggy
Mullach Clach a' Bhlàir,1019,1019,0,Cairngorms,288285,792702,NN882927,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6.5,7.5,21.75,870,Mullach Clach a' Bhlàir from Glen Feshie,NN882927,7,Neither,Boggy
Sgòr Gaoith,1118,1118,0,Cairngorms,290300,798961,NN903989,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,14,913,Sgòr Gaoith from Glen Feshie,NN903989,6.5,Neither,Boggy
Càrn an Fhìdhleir,994,994,0,Cairngorms,290476,784195,NN904841,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,11,12,42,1059,An Scarsoch and Càrn an Fhìdhleir from the Linn of Dee,NN904841,11.5,Neither,Both
Càrn a' Chlamain,963,963.5,0.5,Perthshire,291591,775807,NN915758,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,9,26,930,Càrn a' Chlamain from Glen Tilt,NN915758,8,Neither,Neither
An Sgarsoch,1006,1006.5,0.5,Cairngorms,293339,783685,NN933836,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,11,12,42,1059,An Scarsoch and Càrn an Fhìdhleir from the Linn of Dee,NN933836,11.5,Neither,Both
Càrn Liath,975,976,1,Perthshire,293607,769830,NN936698,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,10,22,1239,Beinn a' Ghlò from Loch Moraig,NN936698,9,Neither,Boggy
Monadh Mòr,1113,1113,0,Cairngorms,293866,794217,NN938942,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,9,11,29,1505,Beinn Bhrotain and Monadh Mòr from Glen Feshie,NN938942,10,Exposed,Both
Bràigh Coire Chruinn-bhalgain,1070,1070,0,Perthshire,294563,772403,NN945724,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,10,22,1239,Beinn a' Ghlò from Loch Moraig,NN945724,9,Neither,Boggy
Braeriach,1296,1296,0,Cairngorms,295328,799916,NN953999,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13,13,36,1820,Cairn Toul and Braeriach traverse,NN953999,13,Both,Neither
Beinn Bhrotain,1157,1157,0,Cairngorms,295413,792292,NN954922,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,9,11,29,1505,Beinn Bhrotain and Monadh Mòr from Glen Feshie,NN954922,10,Exposed,Both
Sgòr an Lochain Uaine,1258,1258,0,Cairngorms,295422,797693,NN954976,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13,13,36,1820,Cairn Toul and Braeriach traverse,NN954976,13,Both,Neither
Cairn Toul,1291,1291,0,Cairngorms,296328,797229,NN963972,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13,13,36,1820,Cairn Toul and Braeriach traverse,NN963972,13,Both,Neither
Càrn nan Gabhar,1121,1121.9,0.900000000000091,Perthshire,297116,773314,NN971733,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,10,22,1239,Beinn a' Ghlò from Loch Moraig,NN971733,9,Neither,Boggy
The Devil's Point,1004,1006.9,2.8999999999999773,Cairngorms,297609,795115,NN976951,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13,13,36,1820,Cairn Toul and Braeriach traverse,NN976951,13,Both,Neither
Ben Macdui,1309,1309,0,Cairngorms,298899,798943,NN988989,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6,8,17.5,932,Ben Macdui and Cairngorm from the ski centre,NN988989,7,Exposed,Boggy
Càrn a' Mhàim,1037,1037,0,Cairngorms,299458,795199,NN994951,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,6,7,22.5,648,Càrn a'Mhàim from the Linn of Dee,NN994951,6.5,Neither,Both
Derry Cairngorm,1155,1155,0,Cairngorms,301734,798032,NO017980,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,9,11,29,1068,Ben Macdui and Derry Cairngorm from the Linn of Dee,NO017980,10,Exposed,Boggy
Càrn an Rìgh,1029,1029,0,Perthshire,302871,777268,NO028772,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,27,1085,Glas Tulaichean and Càrn an Rìgh from the Spittal of Glenshee,NO028772,9,Neither,Boggy
Beinn Iutharn Mhòr,1045,1045,0,Cairngorms,304566,779279,NO045792,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,10,32,983,Beinn Iutharn Mhòr and Càrn Bhac from Inverey,NO045792,9.5,Neither,Neither
Glas Tulaichean,1051,1051,0,Perthshire,305105,776011,NO051760,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,27,1085,Glas Tulaichean and Càrn an Rìgh from the Spittal of Glenshee,NO051760,9,Neither,Boggy
Càrn Bhac,946,945.1,0.8999999999999773,Cairngorms,305104,783225,NO051832,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,10,32,983,Beinn Iutharn Mhòr and Càrn Bhac from Inverey,NO051832,9.5,Neither,Neither
Beinn Bhreac,931,931,0,Cairngorms,305870,797075,NO058970,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,10,29,878,Beinn a' Chaorainn and Beinn Bhreac from Linn of Dee,NO058970,9,Neither,Both
An Socach,944,944,0,Cairngorms,307938,780016,NO079800,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,15.75,655,An Socach from Glen Clunie,NO079800,5.5,Neither,Boggy
Càrn a' Ghèoidh,975,975,0,Cairngorms,310703,776700,NO107767,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,13,595,The Cairnwell Munros,NO107767,5.5,Neither,Neither
Càrn Aosda,917,915.3,1.7000000000000455,Cairngorms,313397,779164,NO133791,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,13,595,The Cairnwell Munros,NO133791,5.5,Neither,Neither
The Cairnwell,933,933,0,Cairngorms,313486,777360,NO134773,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,13,595,The Cairnwell Munros,NO134773,5.5,Neither,Neither
Creag Leacach,987,988.2,1.2000000000000455,Cairngorms,315468,774548,NO154745,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.5,7.5,19.25,891,Glas Maol Munros from the Cairnwell Pass,NO154745,7,Neither,Boggy
Glas Maol,1068,1068,0,Cairngorms,316699,776576,NO166765,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.5,7.5,19.25,891,Glas Maol Munros from the Cairnwell Pass,NO166765,7,Neither,Boggy
Càrn an Tuirc,1019,1019,0,Cairngorms,317454,780482,NO174804,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.5,7.5,19.25,891,Glas Maol Munros from the Cairnwell Pass,NO174804,7,Neither,Boggy
Cairn of Claise,1064,1064,0,Cairngorms,318549,778890,NO185788,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.5,7.5,19.25,891,Glas Maol Munros from the Cairnwell Pass,NO185788,7,Neither,Boggy
Càrn an t-Sagairt Mòr,1047,1047,0,Cairngorms,320810,784280,NO208842,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,7,19,930,Lochnagar,NO208842,6.5,Neither,Neither
Tolmount,958,958,0,Cairngorms,321051,780018,NO210800,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,8,10,26.5,841,Tolmount and Tom Buidhe via Loch Callater,NO210800,9,Exposed,Boggy
Tom Buidhe,957,957,0,Cairngorms,321367,778774,NO213787,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,8,10,26.5,841,Tolmount and Tom Buidhe via Loch Callater,NO213787,9,Exposed,Boggy
Cairn Bannoch,1012,1012,0,Cairngorms,322288,782555,NO222825,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,8,23,813,Creag an Dubh-loch,NO222825,7.5,Neither,Both
Càrn a' Choire Bhòidheach,1118,1109.9,8.099999999999909,Cairngorms,322673,784557,NO226845,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,9,11,29,1228,"White Mounth Munros, Glen Muick",NO226845,10,Exposed,Large river
Mayar,928,928,0,Angus,324083,773748,NO240737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,5.5,14.5,835,Driesh and Mayar from Glen Doll,NO240737,5,Neither,Neither
Broad Cairn,998,998,0,Cairngorms,324056,781567,NO240815,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,8,23,813,"Creag an Dubh Loch and Broad Cairn, Glenmuick",NO240815,7.5,Neither,Both
Lochnagar,1156,1155.7,0.2999999999999545,Cairngorms,324372,786140,NO243861,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,7,19,930,Lochnagar from Spittal of Glenmuick,NO243861,6.5,Neither,Neither
Driesh,947,947,0,Angus,327116,773588,NO271735,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,5.5,14.5,835,Driesh and Mayar from Glen Doll,NO271735,5,Neither,Neither
Mount Keen,939,939,0,Angus,340905,786927,NO409869,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,6,17.5,681,"Mount Keen from Invermark, Glen Esk",NO409869,5.5,Exposed,Neither
