munro,region,height,first_route_title,first_route_url,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent
Sgùrr na Ciste Duibhe,Kintail,1027,Five Sisters of Kintail traverse,https://www.walkhighlands.co.uk/kintail/Fivesisters.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,15,1385
Sgùrr na Lapaich,Loch Ness,1150,The Loch Mullardoch Munros circuit,https://www.walkhighlands.co.uk/lochness/mullardoch-munros.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,14,29,1826
Sgùrr na Ruaidhe,Loch Ness,993,Circuit of the Strathfarrar Munros,https://www.walkhighlands.co.uk/lochness/strathfarrar-munros.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,10,25,1567
Sgùrr na Sgìne,Kintail,945,"The Saddle via the Forcan Ridge, and Sgùrr na Sgìne",https://www.walkhighlands.co.uk/kintail/Thesaddle.shtml,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,7,9,14,1440
Sgùrr nan Ceathreamhnan,Loch Ness,1151,Sgùrr nan Ceathreamhnan Munros from Alltbeithe,https://www.walkhighlands.co.uk/lochness/Ceathreamhnan.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,20,1484
Sgùrr nan Clach Geala,Ullapool,1093,Sgùrr nan Clach Geala ridge,https://www.walkhighlands.co.uk/ullapool/sgurrnanclachgeala.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,9,18,1153
Sgùrr nan Coireachan (Glen Dessary),Fort William,953,Sgùrr na Cìche Munros from Loch Arkaig,https://www.walkhighlands.co.uk/fortwilliam/sgurrnaciche.shtml,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,10,12,26,1523
Sgùrr nan Coireachan (Glenfinnan),Fort William,956,Sgùrr Thuilm & Sgùrr nan Coireachan,https://www.walkhighlands.co.uk/fortwilliam/sgurrthuilm.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9,12,23.5,1428
Sgùrr nan Conbhairean,Kintail,1109,Sgùrr nan Conbhairean from Loch Cluanie,https://www.walkhighlands.co.uk/kintail/sgurrnanconbhairean.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,8,17.5,1260
Sgùrr nan Each,Ullapool,923,Sgùrr nan Clach Geala ridge,https://www.walkhighlands.co.uk/ullapool/sgurrnanclachgeala.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,9,18,1153
Sgùrr nan Eag,Isle of Skye,924,Southern Cuillin and Coire Ghrunnda,https://www.walkhighlands.co.uk/skye/sgurrnaneag.shtml,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,11,15,1159
Sgùrr nan Gillean,Isle of Skye,964,Sgùrr nan Gillean via the Southeast Ridge (Tourist Route),https://www.walkhighlands.co.uk/skye/sgurrnangillean.shtml,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,7,12,985
Sgùrr Thuilm,Fort William,963,Sgùrr Thuilm & Sgùrr nan Coireachan,https://www.walkhighlands.co.uk/fortwilliam/sgurrthuilm.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9,12,23.5,1428
Slioch,Torridon,981,Slioch from Kinlochewe,https://www.walkhighlands.co.uk/torridon/Slioch.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,9,19,1144
Spidean a' Choire Lèith (Liathach),Torridon,1055,"Liathach traverse, Glen Torridon",https://www.walkhighlands.co.uk/torridon/Liathach.shtml,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8,10,11.5,1326
Spidean Coire nan Clach (Beinn Eighe),Torridon,993,Beinn Eighe via Coire Mhic Fhearchair,https://www.walkhighlands.co.uk/torridon/Beinneighe.shtml,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,9,18,1116
Spidean Mialach,Fort William,996,Gleouraich & Spidean Mialach,https://www.walkhighlands.co.uk/fortwilliam/spideanmialach.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,7,12,1130
Sròn a' Choire Ghairbh,Fort William,937,Sròn a' Choire Ghairbh & Meall na Teanga,https://www.walkhighlands.co.uk/fortwilliam/lochlochymunros.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,9,19,1258
Stob a' Choire Mheadhoin,Fort William,1106,The Easains ridge from near Fersit,https://www.walkhighlands.co.uk/fortwilliam/easains.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,16.5,1172
Stob a' Choire Odhair,Argyll,945,Stob Ghabhar & Stob a' Choire Odhair from Victoria Bridge,https://www.walkhighlands.co.uk/argyll/stob-ghabhar.shtml,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,8,9,16,1239
Stob Bàn (Grey Corries),Fort William,977,Stob Bàn (Grey Corries) from above Corriechoille,https://www.walkhighlands.co.uk/fortwilliam/stob-ban-grey-corries.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,18,852
Stob Bàn (Mamores),Fort William,999,"Stob Bàn and Mullach nan Coirean from Polldubh, Glen Nevis",https://www.walkhighlands.co.uk/fortwilliam/stobban.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,8,13,1155
Stob Binnein,Loch Lomond,1165,Ben More and Stob Binnein from Benmore Farm,https://www.walkhighlands.co.uk/lochlomond/ben-more.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,12,1335
Stob Choire Claurigh,Fort William,1177,The Grey Corries ridge,https://www.walkhighlands.co.uk/fortwilliam/greycorries.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,9,10,21.5,1544
Stob Coir an Albannaich,Fort William,1044,Stob Coir an Albannaich and Meall nan Eun from Glen Etive,https://www.walkhighlands.co.uk/fortwilliam/stobcoiranalbannaich.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,18,1327
Stob Coire a' Chàirn,Fort William,981,The Ring of Steall,https://www.walkhighlands.co.uk/fortwilliam/ringofsteall.shtml,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,12,16,1676
Stob Coire an Laoigh,Fort William,1116,The Grey Corries ridge,https://www.walkhighlands.co.uk/fortwilliam/greycorries.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,9,10,21.5,1544
Stob Coire Easain,Fort William,1115,The Easains ridge from near Fersit,https://www.walkhighlands.co.uk/fortwilliam/easains.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,16.5,1172
Stob Coire Raineach (Buachaille Etive Beag),Fort William,925,Buachaille Etive Beag,https://www.walkhighlands.co.uk/fortwilliam/buachailleetivebeag.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,8,900
Stob Coire Sgreamhach,Fort William,1072,Bidean nam Bian range via Coire nan Lochain and the Lost Valley,https://www.walkhighlands.co.uk/fortwilliam/bideannambian.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,11,1316
Stob Coire Sgriodain,Fort William,979,Chno Dearg and Stob Coire Sgriodain from Fersit,https://www.walkhighlands.co.uk/fortwilliam/chnodearg.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,7,13.5,915
Stob Daimh,Argyll,998,Ben Cruachan and Stob Daimh circuit,https://www.walkhighlands.co.uk/argyll/ben-cruachan.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8,9,13.75,1376
Stob Dearg (Buachaille Etive Mòr),Fort William,1021,Buachaille Etive Mòr ridge from Altnafeadh,https://www.walkhighlands.co.uk/fortwilliam/buachailleetivemor.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,13,1110
Stob Dubh (Buachaille Etive Beag),Fort William,956,Buachaille Etive Beag,https://www.walkhighlands.co.uk/fortwilliam/buachailleetivebeag.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,8,900
Stob Ghabhar,Argyll,1090,Stob Ghabhar & Stob a' Choire Odhair from Victoria Bridge,https://www.walkhighlands.co.uk/argyll/stob-ghabhar.shtml,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,8,9,16,1239
Stob na Bròige (Buachaille Etive Mòr),Fort William,956,Buachaille Etive Mòr ridge from Altnafeadh,https://www.walkhighlands.co.uk/fortwilliam/buachailleetivemor.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,13,1110
Stob Poite Coire Àrdair,Fort William,1054,Creag Meagaidh Munros circuit,https://www.walkhighlands.co.uk/fortwilliam/creagmeagaidh.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,21,1080
Stùc a' Chròin,Perthshire,975,Ben Vorlich and Stùc a' Chròin from Ardvorlich,https://www.walkhighlands.co.uk/perthshire/ben-vorlich.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,14.5,1145
Stùcd an Lochain,Perthshire,960,Stuchd an Lochain from Loch an Dàimh,https://www.walkhighlands.co.uk/perthshire/stuchd-an-lochain.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3.5,4.5,8.5,726
The Cairnwell,Cairngorms,933,The Cairnwell Munros,https://www.walkhighlands.co.uk/cairngorms/cairnwell.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,13,595
The Devil's Point,Cairngorms,1004,Cairn Toul and Braeriach traverse,https://www.walkhighlands.co.uk/cairngorms/cairn-toul.shtml,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13,13,36,1820
The Saddle,Kintail,1010,"The Saddle via the Forcan Ridge, and Sgùrr na Sgìne",https://www.walkhighlands.co.uk/kintail/Thesaddle.shtml,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,7,9,14,1440
Toll Creagach,Loch Ness,1054,Toll Creagach and Tom a' Chòinich from Glen Affric,https://www.walkhighlands.co.uk/lochness/Tollcreagach.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,6,8,16.5,1096
Tolmount,Cairngorms,958,Tolmount and Tom Buidhe via Loch Callater,https://www.walkhighlands.co.uk/cairngorms/tolmount.shtml,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,8,10,26.5,841
Tom a' Chòinich,Loch Ness,1112,Toll Creagach and Tom a' Chòinich from Glen Affric,https://www.walkhighlands.co.uk/lochness/Tollcreagach.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,6,8,16.5,1096
Tom Buidhe,Cairngorms,957,Tolmount and Tom Buidhe via Loch Callater,https://www.walkhighlands.co.uk/cairngorms/tolmount.shtml,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,8,10,26.5,841
Tom na Gruagaich (Beinn Alligin),Torridon,922,Beinn Alligin ridge traverse,https://www.walkhighlands.co.uk/torridon/Beinnalligin.shtml,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,7,8,10.5,1190
