corbett,region,height,first_route_title,first_route_url,time_hours_min,time_hours_max,distance_km,ascent,scramble,exposed,spate,bog,river,pathless,toilet,bothy,pub,car_park,deer_fence,cow,ascents,rating
Beinn Luibhean,858m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1898,NA
Beinn Maol Chaluim,907m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,792,NA
Beinn Mheadhonach,901m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1249,NA
Beinn Mhic Cedidh,783m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,702,NA
Beinn Mhic Chasgaig,864m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,798,NA
Beinn Mhic-Mhonaidh,796m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1090,NA
Beinn Mholach,841m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,855,NA
Beinn na Caillich,785m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,573,NA
Beinn na h-Eaglaise,805m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,694,NA
Beinn na h-Uamha,762m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,531,NA
Beinn nam Fuaran,806m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,968,NA
